house_id,listing_address,sale_date,lot_area,year_built,bedrooms,bathrooms,garage_cars,neighborhood,house_style,overall_qual,central_air,sale_condition,sale_price
HOUSE-003315,7308 Main St #3315,2022-05-10,6535.0,1934.0,2,2.5,2.0,Sawyer,SLvl,5,N,Normal,204767.0
HOUSE-019545,5598 Main St #19545,2022-09-05,7633.0,2016.0,6,4.0,0.0,NWAmes,2Story,9,Y,Normal,364732.0
HOUSE-012134,5859 Main St #12134,2022-04-28,11064.0,1988.0,3,3.5,2.0,Somerst,1.5Fin,5,Y,Partial,346668.0
HOUSE-002150,3077 Main St #2150,2024-05-27,4518.0,1917.0,2,4.0,4.0,NWAmes,1.5Fin,1,Y,Normal,128357.0
HOUSE-007998,3457 Main St #7998,2023-06-26,6891.0,1907.0,3,3.5,3.0,NWAmes,SLvl,2,N,Normal,147557.0
HOUSE-017273,5996 Main St #17273,2023-05-15,6861.0,1971.0,1,1.5,3.0,Gilbert,2.5Unf,10,Y,Normal,297385.0
HOUSE-008698,3818 Main St #8698,2023-09-21,6999.0,1946.0,1,2.0,3.0,NridgHt,SLvl,8,Y,Normal,302442.0
HOUSE-008145,6387 Main St #8145,2021-06-05,3586.0,1964.0,1,2.5,4.0,CollegeCr,SFoyer,2,N,Normal,138299.0
HOUSE-008028,9927 Main St #8028,2023-03-31,3479.0,1910.0,4,1.5,2.0,Sawyer,SFoyer,10,Y,Normal,287135.0
HOUSE-017972,705 Main St #17972,2024-08-21,4689.0,,1,2.5,2.0,NWAmes,2Story,3,Y,Normal,121623.0
HOUSE-010678,6898 Main St #10678,2021-03-31,4479.0,1941.0,4,3.0,1.0,NWAmes,SLvl,8,Y,Partial,274950.0
HOUSE-012106,8480 Main St #12106,2023-08-30,3499.0,1958.0,3,4.0,3.0,Sawyer,2.5Unf,5,Y,Abnormal,238598.0
HOUSE-006235,498 Main St #6235,2023-11-18,6200.0,1907.0,4,2.5,2.0,Edwards,SLvl,5,Y,Normal,200800.0
HOUSE-015965,2834 Main St #15965,2024-08-13,6240.0,1929.0,2,1.0,4.0,Edwards,2Story,1,Y,Normal,119705.0
HOUSE-019546,4293 Main St #19546,2020-07-09,5582.0,1970.0,4,3.0,0.0,NridgHt,1.5Fin,4,Y,Normal,273795.0
HOUSE-015849,4012 Main St #15849,2020-01-16,4373.0,2017.0,3,2.0,4.0,Edwards,SFoyer,1,Y,Normal,174666.0
HOUSE-012054,9734 Main St #12054,2023-06-28,3056.0,1980.0,5,4.0,3.0,NWAmes,1.5Fin,4,Y,Normal,270112.0
HOUSE-017755,3292 Main St #17755,2020-10-03,3986.0,1942.0,4,2.5,0.0,Edwards,1.5Fin,6,Y,Partial,218349.0
HOUSE-018781,2564 Main St #18781,2022-05-23,4581.0,1922.0,1,3.0,0.0,CollegeCr,1Story,6,Y,Normal,242097.0
HOUSE-014123,7239 Main St #14123,2021-12-01,4279.0,1951.0,1,1.5,3.0,NWAmes,2.5Unf,9,Y,Normal,286061.0
HOUSE-014097,845 Main St #14097,2020-12-28,1938.0,1971.0,3,3.0,4.0,Gilbert,1.5Fin,9,Y,Normal,325733.0
HOUSE-003208,9807 Main St #3208,2024-09-20,2557.0,1911.0,1,2.5,1.0,Edwards,SLvl,8,Y,Partial,282941.0
HOUSE-004156,2415 Main St #4156,2021-10-20,8290.0,1979.0,1,1.5,0.0,Edwards,SFoyer,9,Y,Normal,281169.0
HOUSE-011423,3132 Main St #11423,2020-12-09,4073.0,2013.0,4,4.0,0.0,OldTown,SLvl,5,Y,Normal,287488.0
HOUSE-007639,6116 Main St #7639,2024-11-27,4123.0,1908.0,5,3.5,3.0,OldTown,SFoyer,8,Y,Partial,310398.0
HOUSE-012593,3153 Main St #12593,2024-07-12,6180.0,1939.0,3,4.0,,Somerst,SLvl,3,Y,Partial,282413.0
HOUSE-018876,9190 Main St #18876,2023-08-23,2838.0,1904.0,3,3.0,3.0,Sawyer,2Story,1,Y,Family,127156.0
HOUSE-012341,9442 Main St #12341,2020-12-16,3863.0,1910.0,1,1.5,3.0,Edwards,SFoyer,6,Y,Normal,144321.0
HOUSE-002386,4734 Main St #2386,2021-04-20,3206.0,1996.0,3,4.0,2.0,NWAmes,2.5Unf,8,Y,Normal,345254.0
HOUSE-009841,1127 Main St #9841,2020-04-20,4323.0,1953.0,4,,2.0,Somerst,2.5Unf,4,Y,Normal,259476.0
HOUSE-002361,8240 Main St #2361,2024-05-01,7044.0,2020.0,4,1.0,2.0,NridgHt,1.5Fin,7,Y,Normal,336507.0
HOUSE-012482,2710 Main St #12482,2020-11-24,2454.0,1947.0,1,3.0,1.0,Edwards,SFoyer,5,Y,Partial,192471.0
HOUSE-013943,5438 Main St #13943,2024-04-06,7065.0,1973.0,5,1.0,,Gilbert,SLvl,8,N,Normal,282766.0
