block_id,internal_code,record_date,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,ocean_proximity,median_house_value
BLOCK-015466,17113,2021-12-30,3.4175,50.0,973.0,252.0,4209,1124.0,33.51,-118.86,<1H OCEAN,241441.0
BLOCK-018732,60049,2020-08-01,2.6851,12.0,6352.0,1156.0,2232,524.0,32.52,-119.5,<1H OCEAN,239805.0
BLOCK-012663,71412,2021-01-13,6.0833,25.0,3031.0,654.0,3670,954.0,40.26,-123.24,<1H OCEAN,331964.0
BLOCK-015188,93776,2023-07-22,4.2181,51.0,6670.0,1519.0,5964,2309.0,39.53,-119.19,NEAR BAY,145671.0
BLOCK-004201,43540,2022-10-05,2.3011,37.0,3328.0,781.0,1335,382.0,33.85,-114.04,NEAR BAY,123945.0
BLOCK-015953,34280,2024-10-25,1.5918,49.0,1290.0,315.0,2965,730.0,39.6,-114.14,<1H OCEAN,142688.0
BLOCK-012633,36007,2023-04-08,3.3483,24.0,3257.0,495.0,4263,962.0,33.01,-118.03,<1H OCEAN,199188.0
BLOCK-001087,63391,2022-08-31,3.3117,30.0,7145.0,1332.0,2872,756.0,35.53,-123.67,INLAND,134470.0
BLOCK-015872,90956,2022-06-26,5.9187,1.0,5864.0,1659.0,2035,744.0,37.36,-119.46,INLAND,227292.0
BLOCK-018085,53639,2022-03-11,4.5535,7.0,3287.0,611.0,4484,1309.0,34.79,-118.77,NEAR OCEAN,301424.0
BLOCK-015322,45131,2020-09-26,2.3533,34.0,6081.0,1498.0,3713,908.0,41.53,-115.11,NEAR OCEAN,194029.0
BLOCK-015809,26832,2020-05-24,3.2572,1.0,133.0,31.0,1097,287.0,37.02,-114.44,<1H OCEAN,269921.0
BLOCK-008350,17369,2020-06-18,2.2443,7.0,3641.0,989.0,2690,904.0,39.17,-116.66,<1H OCEAN,176590.0
BLOCK-010193,75748,2022-02-13,2.1001,40.0,1917.0,444.0,997,393.0,41.18,-123.47,<1H OCEAN,192070.0
BLOCK-002351,84336,2020-09-18,2.7518,30.0,5877.0,1263.0,2274,607.0,32.66,-116.63,INLAND,186397.0
BLOCK-014577,74843,2022-05-08,1.1181,41.0,1904.0,415.0,3824,914.0,35.88,-114.57,INLAND,33945.0
BLOCK-019415,44752,2023-05-07,6.6724,26.0,7981.0,,2779,919.0,37.27,-120.64,<1H OCEAN,360712.0
BLOCK-002767,93559,2023-07-06,0.9161,1.0,3976.0,1048.0,1509,344.0,34.16,-117.05,<1H OCEAN,177100.0
BLOCK-018538,99795,2024-09-28,2.1803,2.0,3272.0,871.0,3676,900.0,36.78,-114.01,INLAND,135419.0
BLOCK-006039,12050,2024-06-23,1.4239,24.0,4050.0,689.0,5058,1350.0,35.02,-117.75,NEAR OCEAN,121654.0
BLOCK-008195,64977,2020-08-01,2.9223,2.0,3613.0,800.0,5524,1270.0,34.1,-123.67,INLAND,153498.0
BLOCK-008570,64109,2021-08-20,0.953,30.0,368.0,82.0,303,86.0,40.9,-119.56,INLAND,110681.0
BLOCK-015132,98663,2023-10-18,3.4871,24.0,3182.0,726.0,1119,379.0,41.76,-115.78,<1H OCEAN,255742.0
BLOCK-017859,39397,2021-02-07,2.3335,36.0,7752.0,1900.0,268,76.0,40.42,-119.1,<1H OCEAN,196044.0
BLOCK-013344,56931,2022-04-04,2.406,48.0,852.0,160.0,3191,869.0,35.76,-114.41,<1H OCEAN,207743.0
BLOCK-008552,74386,2021-04-29,1.4051,10.0,1072.0,242.0,1065,350.0,36.5,-121.92,<1H OCEAN,164669.0
BLOCK-003165,27072,2020-12-14,1.7233,37.0,300.0,67.0,292,65.0,40.22,-121.62,INLAND,82986.0
BLOCK-007562,33117,2020-03-08,3.0542,33.0,4425.0,936.0,2098,735.0,38.37,-114.07,INLAND,125896.0
BLOCK-016442,36283,2022-05-24,3.4431,42.0,3304.0,596.0,1609,488.0,35.54,-116.07,INLAND,138914.0
BLOCK-017439,59102,2023-02-28,1.5698,29.0,620.0,186.0,3576,814.0,36.93,-115.97,INLAND,161781.0
BLOCK-004547,66039,2020-11-18,2.3646,35.0,957.0,215.0,5923,2274.0,41.38,-116.05,INLAND,120545.0
BLOCK-015559,43825,2021-08-13,2.2121,9.0,7419.0,1737.0,3925,1181.0,37.08,-117.14,INLAND,146775.0
BLOCK-011941,70120,2022-12-12,5.3743,34.0,4991.0,1161.0,1400,381.0,38.28,-117.77,NEAR OCEAN,327385.0
BLOCK-013563,72426,2023-08-25,8.6472,51.0,3327.0,535.0,2169,573.0,39.95,-122.87,NEAR OCEAN,412187.0
BLOCK-008612,95201,2024-04-11,5.3239,23.0,2797.0,814.0,2499,670.0,41.56,-115.04,NEAR OCEAN,291366.0
BLOCK-014717,37007,2023-12-30,3.1787,23.0,7519.0,2237.0,1577,473.0,34.78,-124.33,<1H OCEAN,249471.0
BLOCK-018164,70033,2022-11-10,3.9914,2.0,3331.0,632.0,2846,875.0,39.33,-116.36,NEAR BAY,171647.0
BLOCK-016197,41952,2020-12-12,2.9018,48.0,6615.0,1669.0,1809,598.0,34.28,-120.71,<1H OCEAN,254524.0
BLOCK-017149,28164,2024-07-14,2.0585,31.0,2811.0,842.0,3226,763.0,37.62,-115.06,NEAR OCEAN,134623.0
BLOCK-018602,16307,2021-09-19,4.3491,13.0,6940.0,1249.0,210,78.0,40.75,-114.87,INLAND,185004.0
BLOCK-012357,23030,2024-02-07,1.1811,38.0,6737.0,1877.0,1583,414.0,41.47,-120.13,<1H OCEAN,233385.0
BLOCK-011183,91505,2021-03-09,,48.0,832.0,211.0,335,84.0,33.53,-117.7,INLAND,113996.0
BLOCK-000119,54080,2023-05-14,1.4176,11.0,3905.0,812.0,3538,1084.0,41.34,-114.65,<1H OCEAN,166897.0
BLOCK-003461,55989,2021-01-07,1.2206,37.0,1132.0,172.0,3193,920.0,39.83,-115.37,<1H OCEAN,186715.0
BLOCK-005734,90655,2020-07-11,2.6681,1.0,4732.0,936.0,2737,653.0,39.67,-117.5,NEAR BAY,149004.0
BLOCK-018823,42447,2020-12-21,3.7751,28.0,6518.0,1036.0,882,317.0,40.36,-123.5,<1H OCEAN,263601.0
BLOCK-013222,30585,2023-03-25,3.6112,30.0,7329.0,2076.0,5527,1993.0,32.68,-121.17,<1H OCEAN,273424.0
BLOCK-000034,17654,2021-02-02,,25.0,6362.0,1798.0,5657,1636.0,41.16,-121.55,INLAND,105813.0
BLOCK-007442,41815,2021-08-13,4.584,48.0,7417.0,2092.0,818,310.0,40.46,-120.96,<1H OCEAN,274534.0
BLOCK-019930,20132,2020-03-08,3.852,6.0,3661.0,645.0,5789,1874.0,37.8,-119.74,INLAND,255146.0
BLOCK-009954,24509,2023-02-25,3.413,50.0,7763.0,1950.0,2435,543.0,39.01,-121.8,<1H OCEAN,222958.0
BLOCK-018418,75078,2020-12-14,0.9115,,627.0,161.0,3388,1020.0,41.9,-123.2,<1H OCEAN,117205.0
BLOCK-014718,67105,2023-10-06,5.7607,23.0,7810.0,1514.0,2467,954.0,34.53,-123.49,<1H OCEAN,280814.0
BLOCK-016453,83114,2023-09-14,2.0174,46.0,1628.0,464.0,3206,808.0,40.07,-121.88,<1H OCEAN,166651.0
BLOCK-008647,99948,2024-12-04,1.1044,13.0,3472.0,665.0,3323,834.0,38.4,-121.02,NEAR OCEAN,149527.0
BLOCK-008064,82821,2024-01-20,1.3908,47.0,4732.0,851.0,3530,1052.0,38.74,-116.19,INLAND,117780.0
BLOCK-007747,26121,2021-12-10,4.6719,31.0,4517.0,828.0,632,144.0,37.19,-115.47,<1H OCEAN,273487.0
BLOCK-004572,78721,2021-05-03,4.2119,,7288.0,1124.0,5368,1453.0,40.29,-119.86,<1H OCEAN,303646.0
BLOCK-012696,97284,2021-02-27,2.0825,32.0,917.0,255.0,3585,1296.0,40.54,-117.92,<1H OCEAN,190508.0
BLOCK-005290,30616,2022-02-23,2.6941,29.0,5279.0,1322.0,4946,1428.0,40.69,-122.98,<1H OCEAN,212309.0
BLOCK-004258,50254,2021-06-24,3.5778,3.0,7204.0,1318.0,3150,815.0,39.98,-118.33,NEAR OCEAN,243351.0
BLOCK-017403,38342,2024-07-13,2.0291,27.0,5553.0,943.0,5103,1504.0,34.81,-122.82,<1H OCEAN,196446.0
BLOCK-004168,48517,2024-04-21,2.6271,,6171.0,1456.0,3483,891.0,33.91,-118.76,INLAND,93006.0
BLOCK-009674,21014,2022-01-21,2.1417,35.0,5228.0,,2626,750.0,32.52,-123.82,<1H OCEAN,186261.0
BLOCK-006918,62987,2021-01-14,1.7716,22.0,5867.0,1291.0,2596,931.0,40.1,-122.66,INLAND,107907.0
BLOCK-018557,42952,2023-04-14,2.6314,40.0,3203.0,864.0,5398,1938.0,38.78,-115.33,<1H OCEAN,190829.0
BLOCK-009100,22425,2024-08-01,2.1588,44.0,3033.0,598.0,4475,1233.0,35.45,-124.19,NEAR OCEAN,162586.0
BLOCK-010882,72719,2020-04-09,0.8427,22.0,7908.0,1376.0,3087,1010.0,34.45,-118.59,<1H OCEAN,130466.0
BLOCK-010836,76304,2021-08-07,2.1949,7.0,3475.0,804.0,2647,754.0,40.36,-116.68,INLAND,104329.0
BLOCK-006527,46027,2024-07-09,2.7204,7.0,4018.0,683.0,5445,2112.0,34.12,-115.41,<1H OCEAN,217139.0
BLOCK-008771,61996,2021-04-05,2.2469,19.0,5176.0,850.0,2695,957.0,39.42,-119.27,<1H OCEAN,221194.0
BLOCK-006868,68403,2021-06-14,3.5368,16.0,3527.0,767.0,2917,660.0,35.15,-121.26,INLAND,192274.0
BLOCK-015118,25912,2022-10-31,3.7165,9.0,3903.0,,207,52.0,33.02,-123.92,<1H OCEAN,260389.0
BLOCK-019796,94360,2022-09-11,2.771,47.0,1963.0,404.0,5572,1989.0,38.18,-122.64,<1H OCEAN,235827.0
BLOCK-016505,34596,2023-09-02,0.7972,50.0,3672.0,743.0,2728,904.0,39.27,-122.02,NEAR OCEAN,192831.0
BLOCK-010328,91639,2022-10-28,4.4309,26.0,7092.0,,4763,1101.0,34.91,-121.87,<1H OCEAN,282633.0
BLOCK-000451,52880,2024-02-28,4.6061,48.0,1046.0,196.0,1126,295.0,34.14,-122.5,<1H OCEAN,287858.0
BLOCK-013693,59362,2022-06-27,2.5235,38.0,1009.0,262.0,928,259.0,39.54,-121.76,INLAND,130692.0
BLOCK-000438,73512,2023-04-29,1.5903,9.0,3342.0,602.0,5780,1802.0,40.4,-119.31,INLAND,153563.0
BLOCK-008814,54786,2020-01-01,3.9866,13.0,3362.0,907.0,2648,891.0,36.42,-120.11,NEAR OCEAN,257169.0
BLOCK-019493,63740,2021-12-05,7.7295,17.0,4810.0,1275.0,3820,1267.0,39.49,-116.36,NEAR OCEAN,313002.0
BLOCK-015371,23703,2024-01-12,4.6209,15.0,5094.0,838.0,3668,1082.0,40.94,-119.66,INLAND,174488.0
