vehicle_id,registration_number,car_name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power_bhp,selling_price
VH-015234,MH-09-4962,Tata Swift,2005,37981.0,Petrol,Dealer,Manual,First Owner,23.0 kmpl,3017 CC,116.9,55044.0
VH-000218,MH-32-3192,Mahindra Innova,2000,35505.0,Diesel,Dealer,Automatic,Third Owner,13.3 kmpl,911 CC,216.2,186125.0
VH-014447,MH-27-3240,Nissan Sunny,2023,102014.0,Diesel,Trustmark Dealer,Manual,First Owner,19.1 kmpl,1900 CC,183.1,817045.0
VH-008097,MH-44-1487,Nissan Kwid,2000,265297.0,Diesel,Dealer,Automatic,First Owner,15.3 kmpl,3418 CC,194.0,108695.0
VH-008394,MH-14-6346,Maruti i20,2009,59809.0,Diesel,Dealer,Manual,First Owner,14.1 kmpl,1802 CC,184.6,380343.0
VH-018252,MH-15-9633,Nissan Swift,2012,49343.0,Petrol,Individual,Manual,First Owner,21.4 kmpl,809 CC,150.6,392422.0
VH-009579,MH-37-3658,Mahindra i20,2009,142095.0,CNG,Individual,Manual,Second Owner,8.8 kmpl,2897 CC,133.6,277379.0
VH-015299,MH-48-3316,Renault Kwid,2011,,Petrol,Individual,Manual,First Owner,16.6 kmpl,2945 CC,,216398.0
VH-011398,MH-19-8492,Toyota Polo,2001,66573.0,CNG,Individual,Automatic,First Owner,18.1 kmpl,3317 CC,41.1,30000.0
VH-000474,MH-27-6306,Renault Sunny,2011,48284.0,Petrol,Individual,Automatic,First Owner,16.7 kmpl,924 CC,57.4,252242.0
VH-019105,MH-49-5662,Nissan Scorpio,2023,81264.0,Petrol,Individual,Manual,First Owner,18.6 kmpl,1101 CC,41.2,586886.0
VH-015306,MH-12-8165,Volkswagen Swift,2022,28987.0,Petrol,Individual,Automatic,First Owner,21.7 kmpl,2750 CC,87.8,697697.0
VH-010254,MH-39-5800,Tata City,2007,22110.0,Diesel,Dealer,Automatic,First Owner,10.6 kmpl,2088 CC,,326395.0
VH-004226,MH-24-3942,Mahindra Swift,2007,87580.0,Petrol,Individual,Manual,Third Owner,21.2 kmpl,2733 CC,82.2,52112.0
VH-008883,MH-14-6355,Mahindra Swift,2003,45011.0,Petrol,Individual,Automatic,First Owner,24.1 kmpl,2702 CC,51.8,30000.0
VH-015671,MH-11-8330,Ford Scorpio,2023,47885.0,Diesel,Individual,Manual,First Owner,14.0 kmpl,1487 CC,61.5,729176.0
VH-019843,MH-45-5732,Renault Kwid,2020,123831.0,Diesel,Dealer,Manual,Second Owner,15.8 kmpl,3075 CC,158.9,660732.0
VH-011293,MH-04-6099,Honda Nexon,2005,50706.0,Petrol,Dealer,Manual,First Owner,22.9 kmpl,1659 CC,195.5,251849.0
VH-011139,MH-10-9155,Honda Scorpio,2022,93721.0,Petrol,Dealer,Automatic,Second Owner,8.2 kmpl,994 CC,64.9,683027.0
VH-005990,MH-01-1000,Renault City,2006,129436.0,Petrol,Dealer,Manual,Second Owner,8.5 kmpl,1739 CC,,121650.0
