diamond_id,supplier_code,certified_date,carat,cut,color,clarity,depth,table,x_dim,y_dim,z_dim,price
DIA-003315,SUP-051,2024-06-22,0.54,Premium,I,SI2,61.4,53.6,4.04,4.06,2.58,1205
DIA-019545,SUP-186,2024-07-02,2.21,Ideal,F,SI1,60.9,52.7,6.56,6.54,4.09,25579
DIA-012134,SUP-040,2022-07-13,1.7,Very Good,H,SI1,62.3,56.8,5.77,5.72,3.46,10996
DIA-002150,SUP-008,2023-04-06,0.79,Very Good,G,SI1,65.5,50.0,4.77,4.76,2.98,3041
DIA-007998,SUP-196,2022-03-24,0.67,Very Good,G,VS1,59.9,56.0,4.4,4.45,2.71,3100
DIA-017273,SUP-115,2023-10-17,0.85,Premium,F,VS1,61.5,58.0,4.82,4.74,2.92,5585
DIA-008698,SUP-113,2024-09-03,0.64,Premium,H,VVS2,63.2,56.9,4.3,4.23,2.56,3333
DIA-008145,SUP-026,2021-10-18,0.64,Fair,E,SI1,59.6,59.3,4.27,4.26,2.65,1681
DIA-008028,SUP-018,2024-10-09,1.48,Ideal,I,VS2,60.7,57.4,5.83,5.87,3.57,10765
DIA-017972,SUP-169,2024-06-05,0.69,Premium,I,VS2,60.8,,4.15,4.23,2.57,2197
DIA-010678,SUP-154,2022-07-12,0.84,Ideal,J,SI2,61.5,51.1,4.71,4.66,2.93,2469
DIA-012106,SUP-092,2020-08-14,1.02,Ideal,H,SI1,63.2,61.4,5.04,5.01,3.1,5252
DIA-006235,SUP-070,2024-01-07,0.74,Ideal,H,SI1,60.1,57.5,4.37,4.42,2.75,3034
DIA-015965,SUP-117,2023-06-22,0.97,Good,J,VS2,61.7,54.8,4.92,4.92,3.06,3306
DIA-019546,SUP-044,2021-12-13,0.4,Premium,F,SI1,61.1,56.9,3.61,3.57,2.25,1103
DIA-015849,SUP-184,2023-09-19,0.68,Very Good,G,SI1,58.2,55.0,4.32,4.34,2.71,2659
DIA-012054,SUP-087,2024-01-24,0.94,Ideal,E,SI1,60.3,60.6,4.74,4.78,2.85,6188
DIA-017755,SUP-091,2022-03-08,0.48,Very Good,H,VS1,62.6,57.6,3.78,3.77,2.29,1381
DIA-018781,SUP-050,2020-09-15,1.0,Very Good,I,SI2,62.0,57.6,4.36,4.45,2.69,3107
DIA-014123,SUP-185,2020-02-23,0.7,Premium,F,VS1,61.0,59.1,4.55,4.52,2.84,4251
DIA-014097,SUP-156,2022-10-21,0.51,Fair,G,IF,61.7,57.0,3.82,3.85,2.42,2125
DIA-003208,SUP-067,2023-11-22,1.45,Ideal,H,VS1,61.9,56.6,5.7,5.74,3.55,12701
DIA-004156,SUP-179,2021-10-25,0.34,Good,J,VS1,58.1,57.5,3.4,3.36,2.05,311
DIA-011423,SUP-004,2021-06-17,0.51,Very Good,G,VS2,60.9,56.7,4.0,4.02,2.45,1401
DIA-007639,SUP-170,2020-01-04,0.42,Very Good,E,VS2,,60.0,3.67,3.59,2.3,1577
DIA-012593,SUP-076,2022-01-25,0.61,Very Good,H,SI2,62.5,57.4,4.11,4.11,2.58,1310
DIA-018876,SUP-132,2020-01-25,0.6,Very Good,G,VVS2,59.7,54.3,4.14,4.13,2.52,2716
DIA-012341,SUP-167,2021-11-16,1.12,Very Good,J,SI1,63.0,62.0,4.97,5.01,3.03,3618
DIA-002386,SUP-140,2020-01-29,0.57,Ideal,E,VS2,60.3,56.2,3.97,,2.48,3074
DIA-009841,SUP-027,2024-11-25,0.55,Ideal,I,SI1,65.2,55.3,4.4,4.42,2.7,1650
DIA-002361,SUP-031,2023-02-03,0.62,Very Good,G,SI1,60.8,58.0,4.04,4.1,2.46,2116
DIA-012482,SUP-037,2022-10-28,1.86,Good,J,VS1,61.7,56.4,6.35,6.31,3.99,10679
DIA-013943,SUP-072,2023-12-07,0.72,Very Good,D,VS2,61.9,59.9,4.29,,2.68,3929
DIA-011650,SUP-008,2023-10-09,0.33,Ideal,G,VVS1,61.4,54.1,2.96,2.99,1.83,1349
DIA-007115,SUP-025,2023-05-22,1.39,Ideal,G,VVS2,63.0,,5.95,5.99,3.67,14884
DIA-006385,SUP-074,2021-06-03,0.87,Good,F,VS2,63.7,56.1,4.53,4.66,2.79,3635
DIA-019189,SUP-197,2023-06-28,0.4,Very Good,E,VS2,63.9,53.4,4.21,4.31,2.51,1258
DIA-009366,SUP-057,2020-06-17,0.53,Very Good,G,SI1,59.1,59.7,4.25,4.23,2.63,1319
DIA-002862,SUP-105,2021-03-24,1.8,Very Good,D,VS1,58.3,55.6,6.03,6.09,3.82,22823
DIA-006600,SUP-184,2021-04-05,0.35,Ideal,H,I1,60.3,54.8,3.53,3.56,2.19,565
DIA-011626,SUP-102,2021-07-30,0.56,Premium,J,I1,62.7,60.9,4.24,4.23,2.6,639
DIA-003405,SUP-054,2022-11-07,0.27,Premium,J,VS2,61.8,51.7,3.16,3.17,1.99,407
DIA-008393,SUP-003,2024-05-25,0.69,Ideal,I,VS2,61.0,56.5,4.45,4.37,2.75,2491
DIA-000718,SUP-095,2021-11-15,0.58,Good,F,SI1,63.3,57.9,4.24,4.22,2.63,1844
DIA-002725,SUP-126,2022-08-17,0.7,Good,J,VS1,62.6,54.9,4.22,4.22,2.59,1759
DIA-018720,SUP-021,2023-07-10,0.45,Very Good,H,IF,62.5,58.6,3.59,3.53,2.2,1938
DIA-006896,SUP-037,2020-03-09,0.59,Ideal,H,SI1,61.6,54.5,4.03,4.04,2.49,1869
DIA-003710,SUP-125,2022-03-01,1.05,Premium,F,SI2,63.3,59.7,4.76,4.75,2.95,5653
DIA-002935,SUP-057,2023-04-21,1.44,Very Good,H,SI1,60.5,58.9,5.52,5.51,3.45,8121
DIA-010933,SUP-033,2021-06-12,0.91,Premium,F,I1,64.3,,5.12,5.04,3.2,3441
DIA-018361,SUP-182,2020-07-07,0.94,Premium,E,VS2,60.5,55.1,5.08,,3.15,6468
DIA-003649,SUP-033,2022-06-17,0.83,Ideal,G,SI2,59.9,54.6,4.44,4.47,2.73,3356
DIA-019814,SUP-085,2020-06-28,0.33,Very Good,H,VS1,62.6,55.8,3.81,3.77,2.39,1080
DIA-005834,SUP-044,2024-07-14,1.46,Premium,F,SI2,64.6,57.1,5.68,5.74,3.51,9937
DIA-018979,SUP-163,2021-06-30,0.89,Very Good,H,VS1,61.7,56.3,4.76,4.79,2.95,3920
DIA-003798,SUP-063,2023-02-16,1.38,Ideal,I,SI1,61.3,56.5,5.91,5.89,3.67,8092
DIA-003068,SUP-006,2024-05-20,1.14,Fair,E,SI1,63.6,54.6,4.84,4.79,3.01,5177
DIA-016539,SUP-192,2021-01-17,0.45,Premium,J,SI2,63.7,56.1,3.54,3.55,2.17,967
DIA-006826,SUP-107,2021-11-04,0.68,Fair,I,SI2,61.4,,4.21,4.24,2.66,903
DIA-002516,SUP-189,2022-07-17,1.06,Premium,E,VVS2,62.5,53.5,5.28,5.38,3.22,10162
DIA-016537,SUP-045,2022-05-02,1.02,Premium,D,SI1,62.5,56.3,4.84,4.95,2.94,6979
DIA-013820,SUP-030,2021-07-23,0.65,Ideal,E,SI1,61.8,56.8,4.31,4.37,2.64,3083
DIA-005746,SUP-092,2020-01-12,0.33,Premium,G,VVS2,61.2,58.2,3.68,3.72,2.29,721
DIA-012459,SUP-170,2022-01-14,0.41,Very Good,G,SI1,65.5,57.7,3.61,3.67,2.18,899
DIA-010425,SUP-086,2022-09-16,0.87,Ideal,J,VVS2,63.3,56.2,4.96,4.94,3.03,4418
DIA-003522,SUP-045,2022-02-13,1.1,Premium,J,VVS1,59.8,61.0,5.1,5.03,3.22,7026
DIA-008122,SUP-158,2021-05-05,0.75,Ideal,D,VS2,63.7,52.1,4.69,4.61,3.0,4854
DIA-011545,SUP-097,2023-03-21,0.5,Premium,H,VS2,62.4,56.5,4.12,4.09,2.57,1555
DIA-017335,SUP-079,2021-04-25,0.25,Ideal,F,VVS2,62.9,55.7,3.4,3.45,2.2,1032
DIA-006237,SUP-158,2024-01-25,0.42,Ideal,I,SI2,64.3,58.2,3.46,3.46,2.16,711
DIA-000218,SUP-049,2020-07-11,1.52,Premium,I,VS1,61.9,57.8,5.75,5.67,3.55,11471
DIA-007662,SUP-046,2021-08-29,0.6,Very Good,G,VVS1,59.2,56.5,4.3,4.29,2.62,3086
DIA-016502,SUP-133,2020-01-15,1.56,Premium,H,I1,62.9,57.9,5.89,5.92,3.65,7433
DIA-007375,SUP-154,2020-09-25,1.05,Ideal,F,VS2,62.7,59.0,4.67,,2.94,8136
DIA-010495,SUP-121,2023-08-17,0.96,Premium,G,VS1,61.6,58.1,4.76,4.71,2.88,6101
DIA-005711,SUP-049,2023-06-05,1.42,Very Good,G,VS2,60.5,60.3,5.95,5.89,3.65,10500
DIA-008623,SUP-122,2023-05-12,1.06,Fair,F,VS1,59.4,58.8,5.22,5.2,3.23,5208
DIA-017124,SUP-016,2024-03-19,1.74,Premium,G,VVS2,,56.7,6.21,6.12,3.93,20902
DIA-001493,SUP-035,2021-06-27,0.78,Premium,E,VS2,61.3,55.5,4.33,4.37,2.72,4817
DIA-016167,SUP-029,2020-06-30,0.46,Premium,H,SI2,59.5,53.2,3.85,3.88,2.36,980
DIA-010330,SUP-175,2021-08-18,0.67,Premium,G,VS2,63.4,53.7,4.54,4.58,2.81,3098
DIA-012952,SUP-074,2022-02-19,0.44,Very Good,G,VS1,58.4,58.7,3.95,3.92,2.44,1093
DIA-005857,SUP-025,2020-03-10,0.37,Ideal,I,SI2,60.0,57.7,3.68,3.66,2.29,833
