laptop_id,serial_number,listed_date,ram_gb,storage_gb,screen_size_in,weight_kg,battery_hours,brand,cpu_brand,gpu_brand,laptop_type,os,price
LAP-002098,SN-68759066,2024-12-16,8,256.0,14.0,1.45,6.9,MSI,AMD,Integrada,Notebook,Windows,550.74
LAP-016775,SN-14103333,2021-01-28,16,256.0,16.0,2.43,9.2,Acer,Intel,Integrada,2 en 1,Windows,732.32
LAP-003351,SN-63828186,2021-08-18,4,128.0,17.3,2.22,4.7,Samsung,AMD,NVIDIA,Notebook,Windows,958.22
LAP-001578,SN-21514838,2024-03-18,16,512.0,13.2,1.34,9.8,Dell,AMD,AMD Radeon,Ultrabook,Windows,1194.51
LAP-011734,SN-67925043,2021-09-17,4,512.0,14.0,1.85,7.5,Asus,AMD,Integrada,Notebook,Windows,469.51
LAP-004485,SN-65133275,2024-10-05,32,1024.0,15.5,,13.6,Lenovo,AMD,Integrada,2 en 1,Windows,1176.3
LAP-004015,SN-23157562,2022-07-21,4,512.0,17.3,0.97,8.0,HP,Intel,Integrada,2 en 1,Windows,647.09
LAP-017014,SN-87879823,2022-10-02,16,512.0,15.7,1.49,9.9,Acer,AMD,Integrada,Notebook,Linux,543.38
LAP-013729,SN-62981723,2022-05-24,16,512.0,14.0,1.66,10.0,Acer,Intel,Integrada,Ultrabook,Linux,743.58
LAP-000153,SN-92879221,2023-12-25,16,1024.0,14.0,1.83,8.5,Lenovo,Intel,NVIDIA,Business,Windows,1404.7
LAP-012541,SN-40434437,2022-12-01,8,256.0,15.5,1.59,6.8,Asus,AMD,NVIDIA,Business,Linux,915.04
LAP-015364,SN-30193417,2022-05-04,8,512.0,15.6,1.24,7.0,Acer,Intel,AMD Radeon,2 en 1,Windows,951.35
LAP-002320,SN-19772904,2021-10-25,8,1024.0,13.3,2.85,9.7,Dell,Intel,Integrada,Gaming,Windows,1224.22
LAP-013450,SN-63787165,2021-01-09,16,1024.0,17.2,2.4,9.1,Dell,AMD,Integrada,Notebook,Windows,949.18
LAP-011690,SN-16530368,2021-07-09,8,512.0,13.3,2.35,5.1,Dell,Intel,NVIDIA,Gaming,Windows,1427.02
LAP-001828,SN-19930716,2023-08-03,32,128.0,15.6,2.13,8.2,Acer,Intel,AMD Radeon,Gaming,Windows,1330.79
LAP-000875,SN-67674899,2021-08-23,8,256.0,17.3,3.13,6.3,Acer,AMD,NVIDIA,Business,Linux,1013.6
LAP-005282,SN-66944478,2021-04-20,16,512.0,13.3,1.28,,MSI,Apple Silicon,NVIDIA,Ultrabook,macOS,1422.29
LAP-007921,SN-92383281,2021-07-09,8,1024.0,16.1,2.65,11.1,Lenovo,Apple Silicon,NVIDIA,Gaming,macOS,1669.82
LAP-001360,SN-86732478,2024-09-29,16,512.0,17.3,1.45,7.7,Dell,AMD,Integrada,Business,Windows,883.37
LAP-011205,SN-90454843,2021-08-14,8,1024.0,13.3,2.35,12.1,Samsung,Intel,Integrada,Gaming,Windows,1342.47
LAP-005455,SN-60293619,2023-10-02,4,256.0,15.7,1.81,3.4,HP,Apple Silicon,NVIDIA,2 en 1,macOS,991.98
LAP-009187,SN-61403695,2021-09-02,8,128.0,15.6,2.13,7.3,HP,AMD,Integrada,Ultrabook,Windows,646.93
LAP-005302,SN-10288248,2022-02-23,8,512.0,13.9,2.14,,HP,AMD,Integrada,Ultrabook,Windows,597.39
LAP-019053,SN-34853724,2024-04-20,64,128.0,16.1,2.02,5.6,Acer,Apple Silicon,Integrada,Ultrabook,macOS,1217.15
LAP-016647,SN-15775824,2023-05-01,64,512.0,15.6,2.19,,Samsung,AMD,NVIDIA,Notebook,Windows,1809.7
LAP-007609,SN-82253059,2023-01-19,16,512.0,15.6,1.51,8.4,Dell,Intel,Integrada,Ultrabook,Windows,869.11
LAP-017062,SN-41513792,2023-01-25,16,1024.0,16.0,2.87,,Asus,Intel,NVIDIA,Gaming,Windows,1729.2
LAP-014154,SN-79930206,2023-01-06,16,2048.0,15.5,1.73,5.9,Asus,Intel,AMD Radeon,Notebook,Linux,1222.8
LAP-010520,SN-82393436,2024-09-16,32,512.0,15.6,2.3,13.0,Samsung,Apple Silicon,NVIDIA,2 en 1,macOS,1511.68
LAP-010401,SN-28878359,2024-01-13,16,,13.3,2.05,6.2,Lenovo,AMD,Integrada,Ultrabook,Windows,850.92
LAP-001289,SN-60065846,2021-04-27,32,128.0,17.3,3.14,8.7,Acer,Intel,AMD Radeon,Ultrabook,Windows,1154.05
LAP-003058,SN-86922294,2023-05-02,8,,14.0,2.6,9.6,Asus,Intel,Integrada,2 en 1,Windows,743.51
LAP-014852,SN-73669062,2021-11-25,8,512.0,15.6,2.16,4.9,Apple,Intel,NVIDIA,2 en 1,Windows,1947.04
LAP-017019,SN-62531108,2021-09-06,32,512.0,15.5,2.34,10.6,MSI,AMD,Integrada,Ultrabook,Windows,1120.2
