flight_id,booking_reference,departure_date,airline,source_city,destination_city,travel_class,duration_minutes,days_left,stops,departure_time_slot,price
FL-004662,PNR-330603,2025-03-04,Avianca,Lima,Buenos Aires,Economy,195.0,5.0,0,Noche Tardia,191.49
FL-017168,PNR-261607,2025-07-22,Sky Airline,Santiago,Buenos Aires,Economy,45.0,20.0,0,Noche,45.0
FL-011038,PNR-669135,2025-04-13,JetSmart,Miami,Buenos Aires,Premium Economy,67.0,1.0,0,Mañana,159.69
FL-011536,PNR-311490,2024-10-25,JetSmart,Santiago,Miami,Economy,336.0,12.0,0,Madrugada,137.04
FL-007512,PNR-976748,2024-03-14,American Airlines,Lima,Miami,Economy,305.0,9.0,0,Tarde,271.86
FL-000305,PNR-466595,2024-09-16,Avianca,Miami,Mexico City,Economy,145.0,38.0,0,Noche Tardia,45.0
FL-014427,PNR-526218,2024-02-04,LATAM,Lima,Bogota,Business,160.0,6.0,1,Madrugada,695.82
FL-010201,PNR-607956,2024-07-18,JetSmart,Mexico City,Santiago,Business,290.0,8.0,1,Mañana,673.93
FL-003981,PNR-210161,2023-12-19,Avianca,Miami,Madrid,Economy,378.0,3.0,0,Noche,287.83
FL-004718,PNR-699224,2025-09-28,American Airlines,Sao Paulo,Mexico City,Economy,277.0,4.0,1,Noche Tardia,316.93
FL-018674,PNR-691343,2025-01-04,Copa Airlines,Miami,Sao Paulo,Economy,473.0,8.0,0,Noche,327.91
FL-006075,PNR-351621,2025-09-01,Iberia,Miami,Sao Paulo,Economy,631.0,,1,Madrugada,501.64
FL-005477,PNR-853122,2023-10-19,Avianca,Sao Paulo,Santiago,Economy,191.0,9.0,0,Mañana,112.92
FL-009860,PNR-311969,2025-01-21,Avianca,Bogota,Mexico City,Economy,163.0,16.0,0,Mañana,151.26
FL-017624,PNR-995892,2024-07-03,Sky Airline,Sao Paulo,Lima,Economy,372.0,10.0,0,Noche Tardia,251.08
FL-001037,PNR-169689,2025-12-24,Copa Airlines,Sao Paulo,Madrid,Economy,415.0,37.0,1,Noche Tardia,292.54
FL-003670,PNR-178060,2023-10-23,Sky Airline,Santiago,Miami,Economy,196.0,23.0,0,Noche,109.13
FL-000477,PNR-818937,2023-10-31,American Airlines,Miami,Bogota,Economy,,6.0,0,Madrugada,200.55
FL-001650,PNR-684826,2024-11-30,JetSmart,Mexico City,Madrid,Premium Economy,199.0,13.0,0,Tarde,173.77
FL-007009,PNR-483586,2023-07-08,Iberia,Sao Paulo,Lima,Economy,156.0,6.0,0,Tarde,186.63
FL-000840,PNR-140474,2024-11-25,Copa Airlines,Lima,Bogota,Economy,45.0,16.0,0,Madrugada,45.0
FL-000310,PNR-123045,2024-07-20,LATAM,Miami,Lima,Economy,94.0,17.0,1,Noche Tardia,207.6
FL-007754,PNR-448706,2024-07-05,Iberia,Miami,Bogota,Economy,448.0,3.0,0,Noche Tardia,363.48
FL-013809,PNR-645979,2024-03-06,LATAM,Buenos Aires,Miami,Economy,348.0,5.0,1,Noche,356.99
FL-003706,PNR-314620,2025-11-17,JetSmart,Lima,Buenos Aires,Business,335.0,17.0,0,Mañana,584.38
FL-009986,PNR-765708,2024-04-23,Copa Airlines,Madrid,Santiago,Economy,489.0,14.0,2,Madrugada,402.27
FL-017358,PNR-489437,2023-12-03,JetSmart,Buenos Aires,Sao Paulo,Economy,92.0,5.0,1,Noche Tardia,45.0
FL-011913,PNR-542777,2023-07-29,LATAM,Santiago,Miami,Economy,212.0,30.0,1,Mañana,182.69
FL-008146,PNR-243855,2025-12-03,American Airlines,Bogota,Madrid,Economy,88.0,3.0,0,Tarde,194.96
FL-003047,PNR-982967,2024-07-01,American Airlines,Miami,Lima,Premium Economy,320.0,6.0,1,Tarde,502.67
FL-004942,PNR-869197,2024-01-05,Copa Airlines,Santiago,Buenos Aires,Economy,312.0,9.0,2,Noche,287.58
FL-013310,PNR-508123,2024-02-07,JetSmart,Miami,Santiago,Economy,318.0,10.0,1,Mañana,156.36
