employee_id,employee_code,hire_date,years_experience,age,hours_per_week,num_certifications,job_title,department,education_level,company_size,work_mode,annual_salary
EMP-016032,CODE-43189,2016-08-06,4.2,30,35.0,2.0,Data Analyst,Operaciones,Bachiller,Corporativa,Remoto,38736.92
EMP-006842,CODE-18992,2019-11-08,1.7,29,49.5,0.0,Data Scientist,Marketing,Bachiller,Mediana,Hibrido,43531.11
EMP-001111,CODE-85654,2013-04-16,7.2,30,40.8,1.0,HR Specialist,Finanzas,Bachiller,Pequeña,Remoto,31484.88
EMP-010786,CODE-10758,2008-12-27,1.9,29,43.4,0.0,Software Engineer,Marketing,Bachiller,Grande,Remoto,41710.6
EMP-007833,CODE-28682,2007-11-17,,25,34.1,3.0,DevOps Engineer,Datos y Analitica,Maestria,Startup,Presencial,51603.8
EMP-007602,CODE-20839,2009-07-15,11.0,41,37.6,1.0,Software Engineer,Recursos Humanos,Bachiller,Corporativa,Hibrido,64959.46
EMP-007785,CODE-14414,2005-05-27,8.4,30,46.6,1.0,HR Specialist,Datos y Analitica,Maestria,Startup,Hibrido,42820.68
EMP-003340,CODE-12384,2020-04-04,4.8,23,47.2,4.0,Data Analyst,Datos y Analitica,Tecnico,Grande,Hibrido,29924.66
EMP-015338,CODE-30432,2015-11-23,2.6,27,34.3,1.0,DevOps Engineer,Ventas,Bachiller,Corporativa,Presencial,59038.14
EMP-005805,CODE-18540,2014-08-18,20.8,45,40.4,0.0,HR Specialist,Finanzas,Bachiller,Corporativa,Hibrido,68810.38
EMP-014559,CODE-92485,2022-03-28,17.7,50,47.3,3.0,DevOps Engineer,Marketing,Maestria,Pequeña,Hibrido,94669.67
EMP-011510,CODE-96437,2025-04-03,2.7,24,43.1,1.0,Marketing Analyst,Ventas,Maestria,Grande,Hibrido,34784.17
EMP-008862,CODE-61117,2008-03-28,1.9,25,44.9,1.0,Data Scientist,Ingenieria,Bachiller,Mediana,Remoto,49773.15
EMP-002285,CODE-69028,2015-06-03,3.1,25,33.2,0.0,Data Analyst,Ventas,Maestria,Corporativa,Presencial,48860.44
EMP-000482,CODE-10172,2019-08-09,7.9,36,34.5,4.0,Data Scientist,Recursos Humanos,Maestria,Pequeña,Remoto,66642.24
EMP-019575,CODE-12801,2021-07-01,8.9,29,52.6,,Sales Executive,Marketing,Maestria,Mediana,Remoto,49914.18
EMP-000875,CODE-45257,2011-06-27,7.4,31,43.4,3.0,Sales Executive,Recursos Humanos,Maestria,Mediana,Presencial,44587.06
EMP-008350,CODE-49434,2015-08-09,2.6,29,55.7,0.0,Data Analyst,Ingenieria,Bachiller,Corporativa,Remoto,40718.31
EMP-002612,CODE-72162,2012-08-15,1.1,21,47.3,1.0,Data Analyst,Ingenieria,Maestria,Grande,Remoto,38772.88
EMP-019436,CODE-50004,2005-12-27,0.9,23,38.6,1.0,Data Analyst,Finanzas,Bachiller,Grande,Hibrido,27736.63
EMP-010040,CODE-42429,2015-11-05,4.6,25,44.6,1.0,HR Specialist,Datos y Analitica,Bachiller,Mediana,Hibrido,27162.88
EMP-013349,CODE-40371,2012-04-05,8.4,36,38.8,1.0,Sales Executive,Recursos Humanos,Maestria,Pequeña,Presencial,42904.5
EMP-002823,CODE-29967,2010-01-01,2.1,21,43.5,3.0,Data Analyst,Ingenieria,Tecnico,Mediana,Remoto,20473.81
EMP-019486,CODE-62697,2007-01-17,2.8,25,37.5,1.0,Marketing Analyst,Operaciones,Maestria,Pequeña,Hibrido,29343.95
EMP-018134,CODE-84290,2012-04-01,2.3,30,40.1,1.0,DevOps Engineer,Recursos Humanos,Bachiller,Corporativa,Remoto,50981.69
EMP-017732,CODE-41752,2010-09-03,13.2,41,60.0,0.0,Marketing Analyst,Ingenieria,Doctorado,Pequeña,Presencial,67898.44
EMP-010330,CODE-47937,2015-05-15,0.3,23,40.9,1.0,HR Specialist,Recursos Humanos,Bachiller,Grande,Presencial,24826.99
EMP-017616,CODE-49880,2024-08-23,8.7,40,44.9,4.0,Sales Executive,Ingenieria,Maestria,Pequeña,Presencial,52185.25
EMP-014371,CODE-90143,2013-04-17,5.5,33,45.0,2.0,Data Scientist,Marketing,Bachiller,Grande,Hibrido,64605.06
EMP-012057,CODE-70290,2006-11-08,1.0,31,41.2,,Product Manager,Recursos Humanos,Tecnico,Startup,Presencial,38196.18
EMP-012084,CODE-17751,2018-12-28,2.6,26,41.6,1.0,Software Engineer,Recursos Humanos,Maestria,Startup,Hibrido,53370.22
EMP-018237,CODE-23288,2021-06-16,5.0,25,41.3,0.0,Data Scientist,Ingenieria,Tecnico,Pequeña,Hibrido,32470.9
EMP-012390,CODE-75294,2010-01-29,1.4,21,41.2,1.0,Marketing Analyst,Marketing,Maestria,Startup,Hibrido,33409.62
EMP-009595,CODE-21432,2020-05-11,13.9,39,46.4,2.0,Data Analyst,Recursos Humanos,Bachiller,Grande,Remoto,55532.38
